method,metric,dyad,player_a,player_b,gg,ab,ab_minus_gg
M1,WDL-TV,0__1,Magnus Carlsen,Wesley So,0.197724924925,0.191324924925,-0.006400000000
M1,WDL-TV,0__2,Magnus Carlsen,Levon Aronian,0.333733333333,0.320533333333,-0.013200000000
M1,WDL-TV,0__3,Magnus Carlsen,Fabiano Caruana,0.334339130435,0.315239130435,-0.019100000000
M1,WDL-TV,0__4,Magnus Carlsen,Maxime Vachier-Lagrave,0.207988153310,0.183488153310,-0.024500000000
M1,WDL-TV,0__5,Magnus Carlsen,Hikaru Nakamura,0.127803358209,0.121494402985,-0.006308955224
M1,WDL-TV,0__6,Magnus Carlsen,Ian Nepomniachtchi,0.203510526316,0.194910526316,-0.008600000000
M1,WDL-TV,0__7,Magnus Carlsen,Alireza Firouzja,0.264972222222,0.259772222222,-0.005200000000
M1,WDL-TV,1__2,Wesley So,Levon Aronian,0.101251851852,0.108551851852,0.007300000000
M1,WDL-TV,1__3,Wesley So,Fabiano Caruana,0.087158139535,0.071193023256,-0.015965116279
M1,WDL-TV,1__4,Wesley So,Maxime Vachier-Lagrave,0.026930252101,0.034230252101,0.007300000000
M1,WDL-TV,1__5,Wesley So,Hikaru Nakamura,0.098367532468,0.144667532468,0.046300000000
M1,WDL-TV,1__6,Wesley So,Ian Nepomniachtchi,0.070819047619,0.070519047619,-0.000300000000
M1,WDL-TV,1__7,Wesley So,Alireza Firouzja,0.133923809524,0.129623809524,-0.004300000000
M1,WDL-TV,2__3,Levon Aronian,Fabiano Caruana,0.035633333333,0.055533333333,0.019900000000
M1,WDL-TV,2__4,Levon Aronian,Maxime Vachier-Lagrave,0.140033333333,0.113217948718,-0.026815384615
M1,WDL-TV,2__5,Levon Aronian,Hikaru Nakamura,0.243984033613,0.209236974790,-0.034747058824
M1,WDL-TV,2__6,Levon Aronian,Ian Nepomniachtchi,0.193300000000,0.166700000000,-0.026600000000
M1,WDL-TV,2__7,Levon Aronian,Alireza Firouzja,0.158233333333,0.156900000000,-0.001333333333
M1,WDL-TV,3__4,Fabiano Caruana,Maxime Vachier-Lagrave,0.087652173913,0.070952173913,-0.016700000000
M1,WDL-TV,3__5,Fabiano Caruana,Hikaru Nakamura,0.200763636364,0.127800000000,-0.072963636364
M1,WDL-TV,3__6,Fabiano Caruana,Ian Nepomniachtchi,0.128287179487,0.153187179487,0.024900000000
M1,WDL-TV,3__7,Fabiano Caruana,Alireza Firouzja,0.226652380952,0.187852380952,-0.038800000000
M1,WDL-TV,4__5,Maxime Vachier-Lagrave,Hikaru Nakamura,0.274102564103,0.232202564103,-0.041900000000
M1,WDL-TV,4__6,Maxime Vachier-Lagrave,Ian Nepomniachtchi,0.164872766885,0.149143137255,-0.015729629630
M1,WDL-TV,4__7,Maxime Vachier-Lagrave,Alireza Firouzja,0.080471428571,0.077771428571,-0.002700000000
M1,WDL-TV,5__6,Hikaru Nakamura,Ian Nepomniachtchi,0.093764705882,0.097264705882,0.003500000000
M1,WDL-TV,5__7,Hikaru Nakamura,Alireza Firouzja,0.200925472747,0.112225472747,-0.088700000000
M1,WDL-TV,6__7,Ian Nepomniachtchi,Alireza Firouzja,0.179600000000,0.148600000000,-0.031000000000
M1,Opening-family TV,0__1,Magnus Carlsen,Wesley So,0.395149849850,0.357265765766,-0.037884084084
M1,Opening-family TV,0__2,Magnus Carlsen,Levon Aronian,0.560852380952,0.531485714286,-0.029366666667
M1,Opening-family TV,0__3,Magnus Carlsen,Fabiano Caruana,0.377791304348,0.356791304348,-0.021000000000
M1,Opening-family TV,0__4,Magnus Carlsen,Maxime Vachier-Lagrave,0.605862020906,0.547476655052,-0.058385365854
M1,Opening-family TV,0__5,Magnus Carlsen,Hikaru Nakamura,0.412734701493,0.398609141791,-0.014125559701
M1,Opening-family TV,0__6,Magnus Carlsen,Ian Nepomniachtchi,0.540821052632,0.507221052632,-0.033600000000
M1,Opening-family TV,0__7,Magnus Carlsen,Alireza Firouzja,0.369683333333,0.370711111111,0.001027777778
M1,Opening-family TV,1__2,Wesley So,Levon Aronian,0.521907407407,0.520507407407,-0.001400000000
M1,Opening-family TV,1__3,Wesley So,Fabiano Caruana,0.497227131783,0.484693798450,-0.012533333333
M1,Opening-family TV,1__4,Wesley So,Maxime Vachier-Lagrave,0.534771428571,0.511185714286,-0.023585714286
M1,Opening-family TV,1__5,Wesley So,Hikaru Nakamura,0.537679653680,0.549822510823,0.012142857143
M1,Opening-family TV,1__6,Wesley So,Ian Nepomniachtchi,0.617952380952,0.599985714286,-0.017966666667
M1,Opening-family TV,1__7,Wesley So,Alireza Firouzja,0.538990476190,0.537390476190,-0.001600000000
M1,Opening-family TV,2__3,Levon Aronian,Fabiano Caruana,0.545633333333,0.531733333333,-0.013900000000
M1,Opening-family TV,2__4,Levon Aronian,Maxime Vachier-Lagrave,0.702419943020,0.681019943020,-0.021400000000
M1,Opening-family TV,2__5,Levon Aronian,Hikaru Nakamura,0.548027731092,0.550399159664,0.002371428571
M1,Opening-family TV,2__6,Levon Aronian,Ian Nepomniachtchi,0.579100000000,0.559300000000,-0.019800000000
M1,Opening-family TV,2__7,Levon Aronian,Alireza Firouzja,0.614983333333,0.574083333333,-0.040900000000
M1,Opening-family TV,3__4,Fabiano Caruana,Maxime Vachier-Lagrave,0.622682608696,0.578082608696,-0.044600000000
M1,Opening-family TV,3__5,Fabiano Caruana,Hikaru Nakamura,0.427981818182,0.422778787879,-0.005203030303
M1,Opening-family TV,3__6,Fabiano Caruana,Ian Nepomniachtchi,0.602033333333,0.609133333333,0.007100000000
M1,Opening-family TV,3__7,Fabiano Caruana,Alireza Firouzja,0.480790476190,0.447280952381,-0.033509523810
M1,Opening-family TV,4__5,Maxime Vachier-Lagrave,Hikaru Nakamura,0.742033333333,0.690433333333,-0.051600000000
M1,Opening-family TV,4__6,Maxime Vachier-Lagrave,Ian Nepomniachtchi,0.658420043573,0.637220043573,-0.021200000000
M1,Opening-family TV,4__7,Maxime Vachier-Lagrave,Alireza Firouzja,0.672700000000,0.629400000000,-0.043300000000
M1,Opening-family TV,5__6,Hikaru Nakamura,Ian Nepomniachtchi,0.618150000000,0.615150000000,-0.003000000000
M1,Opening-family TV,5__7,Hikaru Nakamura,Alireza Firouzja,0.541789321468,0.569206562848,0.027417241379
M1,Opening-family TV,6__7,Ian Nepomniachtchi,Alireza Firouzja,0.655966666667,0.666866666667,0.010900000000
M2,WDL-TV,0__1,Magnus Carlsen,Wesley So,0.193524924925,0.199424924925,0.005900000000
M2,WDL-TV,0__2,Magnus Carlsen,Levon Aronian,0.330733333333,0.323433333333,-0.007300000000
M2,WDL-TV,0__3,Magnus Carlsen,Fabiano Caruana,0.324039130435,0.333139130435,0.009100000000
M2,WDL-TV,0__4,Magnus Carlsen,Maxime Vachier-Lagrave,0.205288153310,0.199488153310,-0.005800000000
M2,WDL-TV,0__5,Magnus Carlsen,Hikaru Nakamura,0.125003358209,0.130503358209,0.005500000000
M2,WDL-TV,0__6,Magnus Carlsen,Ian Nepomniachtchi,0.202210526316,0.206110526316,0.003900000000
